generations,population,infected_t10,infected_t25,infected_t50,infected_t60,infected_t75,infected_t100,recovered_t10,recovered_t25,recovered_t50,recovered_t60,recovered_t75,recovered_t100,beta,gamma
12,2559,150,164,285,184,364,75,150,467,1014,1198,2242,2559,0.10490192563629058,0.09866619378644163
12,2531,148,149,143,443,252,59,148,479,786,1229,1875,2531,0.08077637536597186,0.0763329135253008
12,1701,308,263,121,89,44,31,308,930,1387,1476,1584,1701,0.1291949622165473,0.1268863669916875
12,5028,1024,645,349,466,526,25,1024,1946,3144,3610,4608,5028,0.0103657045036726,0.01594881269811956
12,5091,63,279,68,19,216,3249,63,458,950,969,1248,5091,0.058917211787540176,0.048659132200266866
12,3620,1044,563,288,398,113,150,1044,2012,2710,3108,3326,3620,0.01,0.01976668398449011
12,5492,382,1185,159,327,483,117,382,2181,2810,3137,3890,5492,0.06323664807826064,0.06125746890811798
12,18467,516,2447,963,1103,1367,1723,516,4199,8208,9311,11878,18467,0.10909405760287716,0.10213988286512532
12,14577,6690,1723,98,108,52,152,6690,13202,14089,14197,14296,14577,0.22905805997234252,0.21788791063929205
12,3443,347,223,211,294,399,40,347,824,1663,1957,3046,3443,0.025902572038380874,0.026567993482266915
12,4365,507,513,253,242,311,161,507,1725,2391,2633,3269,4365,0.01,0.011929455043319315
12,10701,542,1035,1208,842,486,64,542,2895,7895,8737,10056,10701,0.1940211055390213,0.1774522304236936
12,5086,682,838,408,231,95,80,682,2204,4290,4521,4851,5086,0.15055516840001754,0.14279763473170923
8,2726,88,235,435,435,480,88,2726,537,1434,1434,2306,2726,0.13073492535074746,0.1228562445163423
9,182,19,0,25,10,33,19,182,0,25,35,68,182,1.5,0.1
9,83,0,2,11,36,10,0,83,11,35,71,81,83,0.010034401943795578,0.010696833021575597
11,60,2,0,20,25,0,0,2,2,31,56,59,60,0.19724979532405976,0.17329618680374256
12,241,0,32,6,5,3,2,0,50,224,229,236,241,1.5,0.1
12,412,3,4,24,14,82,67,3,20,95,109,252,412,0.15654446982947745,0.14141446270144864
12,2274,50,132,178,136,143,682,50,227,798,934,1260,2274,0.09609807479878565,0.08856734164327124
12,5431,587,879,550,362,142,25,587,2063,4476,4838,5208,5431,0.1635442002205755,0.15285531718444634
12,225,31,35,23,20,2,2,31,79,184,204,218,225,0.138253728124719,0.13149339330140544
12,130,12,23,5,2,0,0,12,81,126,128,129,130,0.27580779124181337,0.245245806455468
12,60,0,0,0,9,2,6,0,0,28,37,50,60,1.5,0.1
12,256,2,13,27,28,17,35,2,18,139,167,200,256,0.2881205611324409,0.2573266644708306
12,91,17,13,2,14,0,3,17,54,66,80,80,91,0.21586119806677065,0.20489679644322886
6,81,3,50,0,0,1,3,81,50,72,72,73,81,0.30582486162981865,0.283245058140582
12,1243,118,138,90,28,21,349,118,396,685,713,751,1243,0.01,0.010356176700233475
8,1683,2,518,105,105,2,2,1683,1033,1649,1649,1681,1683,0.20594299126716684,0.1920037787330395
12,80,1,22,1,0,1,24,1,24,34,34,36,80,0.01,1.0
12,267,2,14,77,82,3,12,2,32,150,232,237,267,0.24348155434113558,0.21509669446459037
9,516,4,127,92,36,1,4,516,169,472,508,509,516,0.2816846998717401,0.2440680796715984
10,96,1,0,17,31,15,0,1,1,33,64,79,96,0.01,1.0
12,64,7,2,0,10,2,0,7,27,43,53,55,64,0.1373273990003405,0.13214161636774474
12,91,6,25,11,3,11,6,6,33,49,52,68,91,0.06869187860621016,0.06601810348116348
12,82,13,4,2,7,4,1,13,22,51,58,68,82,0.01,0.01356854029168103
6,60,2,3,11,11,18,2,60,3,16,16,34,60,0.20813463070653535,0.18216249019320488
10,72,1,1,23,0,4,0,1,2,65,65,69,72,0.01,1.0
12,4603,2082,309,149,172,116,124,2082,2801,3715,3887,4096,4603,0.4249463485268628,0.3976310740071148
12,6126,602,401,143,89,432,878,602,1589,2289,2378,2975,6126,0.010097281905024213,0.01
12,14280,2283,3312,898,516,171,482,2283,9088,12049,12565,13201,14280,0.2276839581840869,0.21100462955770302
12,17778,2232,2844,537,288,263,1406,2232,10615,14396,14684,15187,17778,0.2865552276641398,0.25942396670682727
12,4568,1329,773,120,113,58,165,1329,3453,3824,3937,4054,4568,0.2363897808659698,0.22311601747462026
12,1912,214,247,67,74,197,199,214,838,1068,1142,1498,1912,0.047026341122479186,0.04787711513133082
10,1351,182,171,116,98,137,168,182,353,660,758,895,1351,0.01,0.01157803214411738
12,3610,794,489,176,141,128,286,794,1709,2438,2579,2807,3610,0.01,0.017061287413257124
12,1947,755,224,17,19,6,39,755,1700,1866,1885,1895,1947,0.23776016862893712,0.2226964030455383
12,1947,63,293,128,238,95,327,63,477,763,1001,1339,1947,0.0774420996089976,0.07174797434646152
12,8216,1278,754,476,444,710,98,1278,2740,4362,4806,6466,8216,0.018866464535974174,0.022138995716513548
11,16505,1084,893,1454,982,2318,1180,1084,1977,5463,6445,9781,16505,0.012242853809646516,0.010000009002823782
12,30201,5970,7012,1931,1013,757,511,5970,18677,25477,26490,27735,30201,0.16398988521175592,0.15799630773257503
8,5066,10,1219,680,680,90,10,5066,2450,4645,4645,4984,5066,0.18993188776508588,0.17787847053853387
12,859,106,140,92,75,10,17,106,369,674,749,790,859,0.14492435283408958,0.13811688717523019
12,272,26,23,34,25,13,7,26,71,188,213,239,272,0.12964018131709784,0.12324642290404396
12,267,40,25,43,15,5,7,40,100,221,236,250,267,0.11031575636281157,0.10788709411674416
