rep,true_beta,true_gamma,pop,gens,i0,i25,i75,i10,i60,i50,i100,beta_hat,gamma_hat,r0_hat
36,0.506034,0.503949,1020,12,51,66,31,55,53,49,65,0.05644923448562622,0.06342976540327072,0.8899486562300205
37,0.506034,0.503949,1020,12,51,59,63,43,33,35,28,0.05121108889579773,0.06135761737823486,0.8346329450850487
38,0.506034,0.503949,1020,12,51,36,77,52,36,44,70,0.05565371364355087,0.06338069587945938,0.8780861880941782
39,0.506034,0.503949,1020,12,51,47,45,44,24,61,26,0.047064125537872314,0.05968903377652168,0.7884886479161722
40,0.506034,0.503949,1020,12,51,40,20,52,29,26,16,0.04145415872335434,0.05803106725215912,0.7143442415633323
41,0.506034,0.503949,1020,12,51,33,30,52,40,64,24,0.047454558312892914,0.059944674372673035,0.7916392708695071
42,0.506034,0.503949,1020,12,51,41,30,43,63,43,21,0.0495586022734642,0.060741253197193146,0.8158969343713558
43,0.506034,0.503949,1020,12,51,46,24,53,42,70,35,0.050006553530693054,0.06085148826241493,0.8217802876906747
44,0.506034,0.503949,1020,12,51,49,25,51,31,53,21,0.04532490670681,0.05913928151130676,0.766409492109646
45,0.506034,0.503949,1020,12,51,37,34,49,61,53,27,0.052011895924806595,0.061703745275735855,0.8429293180240641
46,0.506034,0.503949,1020,12,51,70,55,58,17,51,25,0.052664294838905334,0.06184399500489235,0.8515668309387059
47,0.506034,0.503949,1020,12,51,44,32,55,71,48,24,0.056132517755031586,0.06330043822526932,0.8867634937260779
48,0.506034,0.503949,1020,12,51,41,36,45,25,25,36,0.04123686999082565,0.05790133774280548,0.7121920079635731
49,0.506034,0.503949,1020,12,51,28,53,55,35,58,21,0.04985667020082474,0.06091682240366936,0.818438458106797
50,0.506034,0.503949,1020,12,51,33,34,51,19,16,59,0.039616040885448456,0.05758344382047653,0.6879762351302978
51,0.506034,0.503949,1020,12,51,36,45,51,26,40,39,0.04484344273805618,0.05919862911105156,0.7575081283374607
52,0.506034,0.503949,1020,12,51,32,65,37,38,22,34,0.04577670991420746,0.05953993275761604,0.7688404704883033
53,0.506034,0.503949,1020,12,51,47,53,55,68,44,1,0.05990322679281235,0.0646347776055336,0.9267955891857796
54,0.506034,0.503949,1020,12,51,29,20,45,49,78,16,0.047240182757377625,0.05968299135565758,0.7915183486006612
55,0.506034,0.503949,1020,12,51,53,19,54,51,57,3,0.0500464141368866,0.06074768677353859,0.8238406562451458
56,0.506034,0.503949,1020,12,51,58,23,53,56,73,31,0.05608578026294708,0.06296215206384659,0.8907856295330163
57,0.506034,0.503949,1020,12,51,47,54,51,44,39,73,0.05351147800683975,0.06254715472459793,0.8555381654442433
58,0.506034,0.503949,1020,12,51,55,25,44,30,92,40,0.05007952079176903,0.06059996038675308,0.8263952727387627
59,0.506034,0.503949,1020,12,51,54,46,54,28,35,29,0.04787236824631691,0.06024713069200516,0.7945999700973246
